#time	mic	%cpu	cpuT	memT	totW
1457977925	mic5	0.00	68.00	52.00	114.00
1457977986	mic0	0.37	50.00	40.00	111.00
1457977987	mic1	0.35	65.00	52.00	118.00
1457977988	mic2	9.93	73.00	57.00	183.00
1457977989	mic3	0.38	55.00	42.00	117.00
1457977990	mic4	9.73	64.00	46.00	168.00
1457977991	mic5	6.71	68.00	52.00	137.00
1457978052	mic0	9.78	54.00	40.00	163.00
1457978052	mic1	7.62	66.00	53.00	118.00
1457978053	mic2	0.00	73.00	57.00	185.00
1457978054	mic3	9.75	59.00	42.00	169.00
1457978055	mic4	4.42	63.00	46.00	121.00
1457978056	mic5	8.60	69.00	51.00	166.00
1457978117	mic0	0.38	50.00	40.00	111.00
1457978118	mic1	2.07	66.00	53.00	128.00
1457978119	mic2	8.89	77.00	58.00	218.00
1457978120	mic3	9.78	59.00	42.00	169.00
1457978121	mic4	0.04	61.00	45.00	127.00
1457978122	mic5	3.42	70.00	52.00	148.00
1457978183	mic0	0.32	50.00	40.00	111.00
1457978184	mic1	9.17	68.00	52.00	164.00
1457978185	mic2	9.53	71.00	57.00	185.00
1457978186	mic3	9.99	57.00	42.00	166.00
1457978187	mic4	1.41	62.00	45.00	148.00
1457978187	mic5	8.29	68.00	51.00	171.00
1457978248	mic0	0.04	51.00	40.00	105.00
1457978249	mic1	9.90	68.00	52.00	169.00
1457978250	mic2	4.64	71.00	57.00	135.00
1457978251	mic3	9.78	58.00	41.00	169.00
1457978252	mic4	0.33	61.00	45.00	114.00
1457978253	mic5	2.12	68.00	52.00	126.00
1457978314	mic0	0.07	51.00	40.00	120.00
1457978315	mic1	9.83	68.00	52.00	170.00
1457978316	mic2	0.34	74.00	58.00	135.00
1457978317	mic3	0.31	56.00	42.00	116.00
1457978318	mic4	4.14	62.00	45.00	122.00
1457978319	mic5	0.80	68.00	52.00	151.00
1457978380	mic0	0.37	51.00	40.00	109.00
1457978381	mic1	9.79	67.00	52.00	170.00
1457978382	mic2	8.39	73.00	57.00	135.00
1457978383	mic3	6.99	62.00	42.00	195.00
1457978384	mic4	0.35	64.00	46.00	114.00
1457978385	mic5	0.37	68.00	52.00	114.00
1457978445	mic0	0.32	51.00	40.00	111.00
1457978446	mic1	9.94	72.00	53.00	205.00
1457978447	mic2	0.00	73.00	57.00	132.00
1457978448	mic3	0.00	65.00	43.00	207.00
1457978449	mic4	9.79	65.00	46.00	165.00
1457978450	mic5	0.00	68.00	52.00	111.00
1457978511	mic0	0.31	51.00	40.00	112.00
1457978512	mic1	0.00	73.00	54.00	213.00
1457978513	mic2	7.37	74.00	58.00	167.00
1457978514	mic3	0.07	57.00	42.00	127.00
